Wavelength (nm),Schwarzes_Silizium,Wavelength (nm),Si_Waver,Wavelength (nm),Si_Waver_Matt,Wavelength (nm),Si_amorph,Wavelength (nm),Pyramide,Wavelength (nm),AR_Glanzend,Wavelength (nm),AR_Matt,
1811,38.31747055,1811,49.91003418,1811,48.33162689,1811,79.84461975,1811,23.09762001,1811,34.29224396,1811,28.00464249,
1810,38.32776642,1810,49.91962433,1810,48.33417511,1810,80.14247131,1810,23.11077499,1810,34.28437805,1810,28.01298714,
1809,38.33048248,1809,49.91651917,1809,48.31127548,1809,80.42982483,1809,23.11639977,1809,34.26993561,1809,28.00640106,
1808,38.31518555,1808,49.9141655,1808,48.33785248,1808,80.7264328,1808,23.10041237,1808,34.29550171,1808,28.01197243,
1807,38.31193161,1807,49.91731644,1807,48.3326149,1807,80.99425507,1807,23.11406517,1807,34.29396439,1807,27.99893379,
1806,38.29433441,1806,49.91430664,1806,48.32011032,1806,81.26006317,1806,23.10462761,1806,34.30115509,1806,28.00464058,
1805,38.30565643,1805,49.90695572,1805,48.33112717,1805,81.53396606,1805,23.09898186,1805,34.30028534,1805,28.02903748,
1804,38.2857933,1804,49.9118309,1804,48.31759644,1804,81.78850555,1804,23.09527779,1804,34.29288101,1804,28.00597763,
1803,38.2939949,1803,49.90995407,1803,48.31545258,1803,82.05129242,1803,23.08465767,1803,34.29297638,1803,28.00803185,
1802,38.28261566,1802,49.90512466,1802,48.32259369,1802,82.28905487,1802,23.08730698,1802,34.27936554,1802,28.01131058,
1801,38.28918076,1801,49.9119606,1801,48.31373596,1801,82.53527069,1801,23.08396721,1801,34.28268051,1801,28.01101303,
1800,38.2794075,1800,49.89003372,1800,48.31137848,1800,82.77403259,1800,23.08402252,1800,34.30708694,1800,27.99236107,
1799,38.27088165,1799,49.91769028,1799,48.30383301,1799,83.01338196,1799,23.09256935,1799,34.29045486,1799,28.00802612,
1798,38.26940536,1798,49.91827774,1798,48.32444,1798,83.21101379,1798,23.07722473,1798,34.31295776,1798,27.99231148,
1797,38.25302124,1797,49.90244293,1797,48.31046295,1797,83.47699738,1797,23.07546806,1797,34.30521011,1797,28.01719666,
1796,38.2519989,1796,49.91739273,1796,48.31482315,1796,83.68675995,1796,23.07452965,1796,34.30594254,1796,28.00445938,
1795,38.24152374,1795,49.91256714,1795,48.30656433,1795,83.90049744,1795,23.06230736,1795,34.3061409,1795,27.9998951,
1794,38.23015213,1794,49.91207886,1794,48.32021332,1794,84.12059784,1794,23.05215454,1794,34.29460526,1794,28.00754356,
