Single
3648
Scan 0,   
1662, 71.0
1663, 73.0
1664, 75.0
1665, 77.0
1666, 78.0
1667, 75.0
1668, 77.0
1669, 72.0
1670, 69.0
1671, 75.0
1672, 80.0
1673, 71.0
1674, 80.0
1675, 75.0
1676, 77.0
1677, 78.0
1678, 73.0
1679, 70.0
1680, 71.0
1681, 72.0
1682, 73.0
1683, 77.0
1684, 72.0
1685, 72.0
1686, 77.0
1687, 79.0
1688, 79.0
1689, 74.0
1690, 70.0
1691, 77.0
1692, 72.0
1693, 77.0
1694, 72.0
1695, 73.0
1696, 75.0
1697, 75.0
1698, 72.0
1699, 74.0
1700, 71.0
1701, 78.0
1702, 76.0
1703, 78.0
1704, 75.0
1705, 69.0
1706, 76.0
1707, 73.0
1708, 74.0
1709, 77.0
1710, 70.0
1711, 75.0
1712, 75.0
1713, 74.0
1714, 78.0
1715, 74.0
1716, 73.0
1717, 76.0
1718, 71.0
1719, 75.0
1720, 77.0
1721, 78.0
1722, 76.0
1723, 79.0
1724, 72.0
1725, 79.0
1726, 76.0
1727, 78.0
1728, 78.0
1729, 79.0
1730, 74.0
1731, 77.0
1732, 77.0
1733, 77.0
1734, 74.0
1735, 77.0
1736, 77.0
1737, 77.0
1738, 77.0
1739, 83.0
1740, 78.0
1741, 77.0
1742, 74.0
1743, 81.0
1744, 84.0
1745, 84.0
1746, 84.0
1747, 78.0
1748, 77.0
1749, 81.0
1750, 80.0
1751, 84.0
1752, 80.0
1753, 80.0
1754, 79.0
1755, 88.0
1756, 88.0
1757, 83.0
1758, 84.0
1759, 83.0
1760, 94.0
1761, 96.0
1762, 92.0
1763, 86.0
1764,101.0
1765,142.0
1766,134.0
1767,112.0
1768,131.0
1769,266.0
1770,401.0
1771,400.0
1772,485.0
1773,988.0
1774,1986.0
1775,2946.0
1776,3014.0
1777,2221.0
1778,1217.0
1779,588.0
1780,396.0
1781,315.0
1782,206.0
1783,132.0
1784,120.0
1785,118.0
1786,108.0
1787, 99.0
1788, 98.0
1789, 92.0
1790, 94.0
1791, 91.0
1792, 84.0
1793, 98.0
1794, 85.0
1795, 90.0
1796, 84.0
1797, 80.0
1798, 77.0
1799, 85.0
1800, 81.0
1801, 80.0
1802, 84.0
1803, 77.0
1804, 75.0
1805, 78.0
1806, 77.0
1807, 78.0
1808, 77.0
1809, 79.0
1810, 79.0
1811, 79.0
1812, 77.0
1813, 75.0
1814, 78.0
1815, 77.0
1816, 76.0
1817, 79.0
1818, 83.0
1819, 75.0
1820, 79.0
1821, 77.0
1822, 77.0
1823, 76.0
1824, 72.0
1825, 77.0
1826, 79.0
1827, 77.0
1828, 78.0
1829, 78.0
1830, 80.0
1831, 71.0
1832, 76.0
1833, 75.0
1834, 76.0
1835, 73.0
1836, 80.0
1837, 75.0
1838, 77.0
1839, 75.0
1840, 78.0
1841, 75.0
1842, 71.0
1843, 74.0
1844, 70.0
1845, 77.0
1846, 71.0
1847, 77.0
1848, 78.0
1849, 74.0
1850, 74.0
1851, 75.0
1852, 76.0
1853, 75.0
1854, 76.0
1855, 76.0
1856, 73.0
1857, 73.0
1858, 74.0
1859, 73.0
1860, 76.0
1861, 77.0
1862, 75.0
1863, 70.0
1864, 76.0
1865, 77.0
